"daily_time_spent_on_site","age","area_income","daily_internet_usage","ad_topic_line","city","male","country","timestamp","clicked_on_ad"
57.05,41,50280,270,Seamless full-range website,Port Erinberg,1,Sierra Leone,2016-01-09 03:45:19,1
42.44,56,43450,168.3,Profit-focused attitude-oriented task-force,Petersonfurt,0,Tajikistan,2016-02-10 15:23:17,1
62.2,25,25410,161.2,Cross-platform multimedia algorithm,New Lindaberg,0,Liechtenstein,2016-04-24 13:42:15,1
76.7,36,71140,222.3,Open-source coherent monitoring,West Russell,0,Ecuador,2016-06-12 05:31:19,0
61.22,45,63880,119,Streamlined logistical secured line,South Adam,1,Switzerland,2016-01-05 09:42:22,1
84.54,33,64900,204,Synchronized stable complexity,North Tracyport,1,Moldova,2016-03-02 10:07:43,0
46.08,30,66780,164.6,Synergistic value-added extranet,Brownport,1,Finland,2016-07-21 10:54:35,1
56.7,48,62780,123.1,Progressive non-volatile neural-net,Port Crystal,0,France,2016-01-09 04:53:22,1
81.03,28,63730,201.2,Persevering tertiary capability,Masonhaven,0,Venezuela,2016-01-06 13:20:01,0
80.91,32,61610,231.4,Enterprise-wide bi-directional secured line,Derrickhaven,0,Cuba,2016-01-31 04:10:20,0
40.06,38,56780,138.7,Organized contextually-based customer loyalty,Olsonstad,1,Peru,2016-06-11 08:38:16,1
83.47,39,64450,226.1,Total directional approach,New Brandy,0,Turkey,2016-05-15 20:48:40,0
73.84,31,42040,121,Programmable uniform productivity,South Jasminebury,0,Albania,2016-06-18 17:23:26,1
74.65,28,67670,212.6,Robust transitional ability,East Timothy,0,French Southern Territories,2016-03-17 05:00:12,0
60.25,35,54880,109.8,De-engineered fault-tolerant database,Charlottefort,0,Papua New Guinea,2016-06-29 13:35:05,1
59.21,35,73350,144.6,Managed disintermediate matrices,Lake Beckyburgh,1,Liechtenstein,2016-02-02 08:55:26,1
43.02,44,50200,125.2,Configurable bottom-line application,West Lindseybury,0,Thailand,2016-04-13 05:42:52,1
84.04,38,50720,244.6,Self-enabling didactic pricing structure,West Alyssa,0,Malaysia,2016-07-20 09:27:24,0
70.66,43,63450,121,Versatile scalable encryption,Lake Craigview,1,Mauritius,2016-02-26 04:57:14,1
70.58,26,56690,136.9,Proactive next generation knowledge user,Lake David,0,Algeria,2016-02-26 09:18:48,1
72.44,34,70550,230.1,Customizable tangible hierarchy,Bruceburgh,0,Christmas Island,2016-04-15 14:45:48,0
40.17,26,47390,171.3,Visionary asymmetric encryption,South Lauratown,1,Japan,2016-02-01 14:37:34,1
79.15,26,62310,203.2,Intuitive explicit conglomeration,Port Robin,0,Greenland,2016-01-20 19:09:37,0
44.49,53,63100,168,Business-focused real-time toolset,Jacksonburgh,1,Sao Tome and Principe,2016-04-23 06:28:43,1
73.04,37,73690,221.8,Organic contextually-based focus group,Erinmouth,1,Senegal,2016-06-19 22:26:16,0
76.28,33,52690,254.3,Right-sized asynchronous website,Port Aliciabury,0,Guadeloupe,2016-02-15 07:55:10,0
68.88,37,78120,179.6,Advanced 5thgeneration capability,Port Whitneyhaven,0,Belgium,2016-02-09 19:37:52,0
73.1,28,57010,242.4,Universal asymmetric archive,Jeffreyshire,0,Israel,2016-01-25 07:52:53,0
47.66,29,27090,156.5,Devolved responsive structure,Tinaton,0,Honduras,2016-07-18 11:33:31,1
87.3,35,58340,216.9,Triple-buffered regional toolset,North Loriburgh,0,Estonia,2016-01-09 07:28:16,0
89.34,32,50220,177.8,Object-based executive productivity,Wendyton,1,Paraguay,2016-03-21 21:15:54,0
81.37,26,53050,156.5,Business-focused responsive website,Lake Jacqueline,1,Kyrgyz Republic,2016-02-15 12:25:28,0
81.67,28,62930,196.8,Visionary analyzing structure,North Christopher,1,Mauritania,2016-03-04 08:48:29,0
46.37,52,32850,144.3,De-engineered solution-oriented open architecture,Alexanderfurt,0,French Guiana,2016-01-05 00:02:53,1
54.88,24,32010,148.6,Customizable modular Internet solution,West Pamela,0,Northern Mariana Islands,2016-05-15 01:03:06,1
40.67,35,48910,133.2,Stand-alone encompassing throughput,West Amanda,0,Lebanon,2016-05-05 09:28:36,1
71.76,35,69290,237.4,Customizable zero-defect matrix,South Tomside,0,Saint Pierre and Miquelon,2016-05-26 13:18:30,0
47.51,51,53700,130.4,Managed well-modulated collaboration,Bethburgh,1,American Samoa,2016-05-21 01:36:16,1
75.15,22,52010,212.9,Universal global intranet,Jamiefort,1,Austria,2016-05-04 12:06:18,0
56.01,26,46340,127.3,Re-engineered real-time success,Garciamouth,0,Tonga,2016-07-05 18:59:45,1
82.87,37,67940,213.4,Front-line fresh-thinking open system,West Brenda,0,Tonga,2016-06-28 20:13:41,0
45.05,42,66350,141.4,Digitized contextually-based product,South Kyle,0,French Southern Territories,2016-05-05 11:09:29,1
60.53,24,66870,167.2,Organic interactive support,Combsstad,0,Serbia,2016-03-25 15:17:39,1
50.52,31,72270,171.6,Function-based stable alliance,Lake Allenville,0,New Caledonia,2016-01-23 15:02:13,1
84.71,32,61610,210.2,Reactive responsive emulation,Greenechester,0,Taiwan,2016-05-29 07:29:27,0
55.2,39,76560,159.5,Exclusive zero tolerance alliance,Jordantown,1,United States of America,2016-05-30 07:36:31,1
81.61,33,62670,228.8,Enterprise-wide local matrices,Gravesport,0,Morocco,2016-04-17 15:46:03,0
71.55,36,75690,164,Inverse next generation moratorium,South Troy,1,Suriname,2016-07-20 23:08:28,0
82.4,36,66740,219,Implemented bifurcated workforce,Lake Patrick,1,Macedonia,2016-06-29 03:07:51,0
73.95,35,67710,238.6,Persevering even-keeled help-desk,Millerland,0,Wallis and Futuna,2016-04-10 14:48:35,0
72.07,31,69710,226.4,Grass-roots eco-centric instruction set,Port Jessicamouth,0,Chile,2016-04-16 16:38:35,0
80.39,31,66270,214.7,Fully-configurable incremental Graphical User Interface,Paulport,0,Gabon,2016-05-03 08:21:23,0
65.8,25,60840,231.5,Expanded radical software,Clineshire,1,Gabon,2016-03-18 16:04:59,0
69.97,28,55040,250,Mandatory 3rdgeneration moderator,Cynthiaside,0,Holy See (Vatican City State),2016-05-22 00:01:58,0
52.62,50,73860,176.5,Enterprise-wide foreground emulation,Port Juan,0,Seychelles,2016-02-01 20:30:35,1
39.25,39,62380,152.4,Customer-focused incremental system engine,Michellefort,0,Mayotte,2016-01-23 17:39:06,1
77.56,38,63340,130.8,Right-sized multi-tasking solution,Port Angelamouth,1,Uganda,2016-05-19 03:52:24,1
33.52,43,42190,165.6,Vision-oriented optimizing middleware,Jessicahaven,0,Cambodia,2016-05-09 21:54:38,1
79.81,24,56190,178.8,Proactive context-sensitive project,North Daniel,1,Antigua and Barbuda,2016-05-31 11:44:45,1
84.79,33,61770,214.5,Managed eco-centric encoding,New Juan,0,Cameroon,2016-03-30 19:09:50,0
82.7,35,61380,231.1,Visionary multi-tasking alliance,Amyfurt,0,Somalia,2016-01-09 15:49:28,0
84.88,32,63920,186.5,Ameliorated tangible hierarchy,Harrishaven,0,Lebanon,2016-04-18 03:41:56,0
54.92,54,23980,161.2,Extended interactive model,Roberttown,0,Saint Pierre and Miquelon,2016-06-13 13:59:51,1
76.56,34,70180,221.5,Universal bi-directional extranet,Jeremyshire,1,Dominica,2016-04-23 08:15:31,0
69.74,49,66520,243.4,Enhanced maximized access,Birdshire,0,Hungary,2016-03-27 16:41:29,0
75.55,22,41850,169.4,Upgradable even-keeled challenge,New Amanda,0,Taiwan,2016-02-19 07:29:30,1
72.19,33,61280,250.3,Synchronized national infrastructure,Curtisview,1,Saint Lucia,2016-05-19 11:16:59,0
84.29,41,60640,232.5,Re-contextualized systemic time-frame,Jacksonmouth,0,Niue,2016-01-27 20:47:57,0
73.89,39,47160,110.7,Horizontal national architecture,North April,0,France,2016-04-20 00:41:53,1
75.84,21,48540,187,Reactive bi-directional workforce,Hayesmouth,0,Cyprus,2016-02-07 07:41:06,0
73.38,25,53060,236.2,Horizontal transitional challenge,South Corey,1,French Southern Territories,2016-04-21 09:30:35,0
80.72,31,68610,186.4,Re-engineered neutral success,Juliaport,0,Costa Rica,2016-04-19 05:15:28,0
62.06,44,44170,105,Adaptive contextually-based methodology,Port Paultown,0,Austria,2016-04-12 14:01:08,1
51.5,34,67050,135.3,Configurable dynamic adapter,East Vincentstad,0,Zambia,2016-03-15 11:25:48,1
90.97,37,54520,180.8,Multi-lateral empowering throughput,Kimberlytown,0,Congo,2016-02-16 18:21:36,0
86.78,30,54950,170.1,Fundamental zero tolerance solution,New Steve,1,United States of America,2016-02-18 23:08:59,0
66.18,35,69480,243.6,Proactive asymmetric definition,New Johnberg,0,Pitcairn Islands,2016-03-25 08:40:15,0
84.33,41,54990,240.9,Pre-emptive zero tolerance Local Area Network,Shawstad,0,Belize,2016-03-16 00:28:10,0
36.87,36,29400,195.9,Self-enabling incremental collaboration,New Rebecca,0,Anguilla,2016-01-28 11:50:40,1
34.78,48,42860,208.2,Exclusive even-keeled moratorium,Jeffreyburgh,1,South Africa,2016-03-24 02:01:55,1
76.84,32,65880,231.6,Reduced incremental productivity,Faithview,0,Singapore,2016-03-03 22:31:16,0
67.05,25,65420,220.9,Realigned scalable standardization,Richardsontown,0,Finland,2016-02-26 09:54:33,0
41.47,31,60950,219.8,Secured scalable Graphical User Interface,Port Brookeland,0,Martinique,2016-07-06 15:56:39,1
80.71,26,58480,200.6,Team-oriented context-sensitive installation,East Christopherbury,0,Cameroon,2016-06-24 05:50:22,0
80.09,31,66640,214.1,Pre-emptive systematic budgetary management,Port Christinemouth,0,Sweden,2016-05-23 21:00:45,0
56.3,49,67430,135.2,Fully-configurable high-level implementation,South Meghan,1,New Caledonia,2016-02-03 19:12:51,1
79.36,34,57260,245.8,Profound maximized workforce,Hessstad,1,Bosnia and Herzegovina,2016-04-28 22:54:37,0
86.38,40,66360,188.3,Cross-platform 4thgeneration focus group,Rhondaborough,1,Singapore,2016-03-19 14:57:00,0
38.94,41,57590,142.7,Optional mission-critical functionalities,Lewismouth,1,Falkland Islands (Malvinas),2016-07-15 09:08:42,1
87.26,35,63060,184,Multi-layered tangible portal,New Paul,0,Bosnia and Herzegovina,2016-05-12 04:35:59,0
75.32,28,60000,233.6,Reduced mobile structure,Lake Angela,1,Mauritius,2016-01-01 21:58:55,0
74.38,40,74020,220.1,Enhanced zero tolerance Graphic Interface,East Graceland,1,Indonesia,2016-03-13 13:50:25,0
65.9,22,60550,211.4,De-engineered tertiary secured line,Hartport,0,Czech Republic,2016-07-16 14:13:54,0
36.31,47,57980,168.9,Reverse-engineered well-modulated capability,East Yvonnechester,0,Eritrea,2016-04-18 00:49:33,1
72.23,48,52740,115.3,Integrated coherent pricing structure,Burgessside,0,Mexico,2016-07-17 01:13:56,1
88.12,38,46650,230.9,Realigned next generation projection,Hurleyborough,0,Gibraltar,2016-02-17 07:05:57,0
83.97,28,56990,205.5,Reactive needs-based instruction set,Garychester,1,Haiti,2016-06-16 02:33:22,0
61.09,26,55340,131.7,User-friendly well-modulated leverage,East Kevinbury,1,Falkland Islands (Malvinas),2016-04-09 16:31:15,1
65.77,21,42160,218.6,Function-based fault-tolerant model,Contrerasshire,1,Eritrea,2016-03-18 17:35:40,0
81.58,25,39700,199.4,Decentralized needs-based analyzer,Erikville,0,Hong Kong,2016-05-11 22:02:17,0
37.87,52,56390,188.6,Phased analyzing emulation,Robertsonburgh,1,Gambia,2016-05-25 20:10:02,1
76.2,37,75040,178.5,Multi-layered fresh-thinking process improvement,Karenton,0,Barbados,2016-02-29 19:26:35,0
60.91,19,53310,184.9,Upgradable directional system engine,Port Kathleenfort,0,Nauru,2016-06-09 14:24:06,1
74.49,28,59000,237.3,Persevering eco-centric flexibility,Lake Adrian,0,Peru,2016-01-30 16:15:29,0
73.71,23,56610,211.4,Inverse local hub,New Sheila,1,El Salvador,2016-02-15 05:35:54,0
78.19,30,62480,228.8,Triple-buffered needs-based Local Area Network,Mollyport,0,Libyan Arab Jamahiriya,2016-01-31 06:14:10,0
79.54,44,70490,217.7,Centralized multi-state hierarchy,Sandraland,1,Cambodia,2016-01-05 16:34:31,0
74.87,52,43700,127,Public-key non-volatile implementation,Charlenetown,0,Saint Barthelemy,2016-05-31 02:17:18,1
87.09,36,57740,222,Synergized coherent interface,Luischester,1,Reunion,2016-04-21 16:10:50,0
37.45,47,31280,167.9,Horizontal high-level concept,South Johnnymouth,0,Antigua and Barbuda,2016-04-10 03:30:16,1
49.84,39,45800,111.6,Reduced multimedia project,Hannaport,0,Samoa,2016-02-09 07:21:25,1
51.38,59,42360,158.6,Object-based modular functionalities,East Anthony,0,Afghanistan,2016-06-17 17:11:16,1
83.4,34,66690,207.9,Polarized multimedia system engine,West Daleborough,0,Azerbaijan,2016-05-22 21:54:23,0
38.91,33,56370,150.8,Versatile reciprocal structure,Morrismouth,1,Philippines,2016-07-13 07:41:42,1
62.14,41,59400,110.9,Upgradable multi-tasking initiative,North Andrewstad,1,Angola,2016-01-23 18:59:21,1
79.72,28,66030,193.8,Configurable tertiary budgetary management,Wrightburgh,1,Albania,2016-05-20 12:17:59,0
73.3,36,68210,135.7,Adaptive asynchronous attitude,West Tanya,1,Hungary,2016-01-30 04:38:41,1
69.11,42,73610,231.5,Face-to-face mission-critical definition,Novaktown,1,Faroe Islands,2016-04-21 12:34:28,0
71.9,54,61230,140.2,Inverse zero tolerance customer loyalty,Timothymouth,1,Czech Republic,2016-04-22 20:32:17,1
72.45,29,72330,195.4,Centralized 24hour synergy,Robertmouth,1,Svalbard & Jan Mayen Islands,2016-01-11 06:02:27,0
77.07,40,44560,261,Face-to-face analyzing encryption,Stephenborough,0,Afghanistan,2016-03-01 10:01:35,0
74.62,36,73210,217.8,Self-enabling even-keeled methodology,Lake Kurtmouth,0,Rwanda,2016-04-04 08:19:54,0
82.07,25,46720,205.4,Function-based optimizing extranet,Lauraburgh,1,Panama,2016-06-20 06:30:06,0
58.6,50,45400,113.7,Organic asynchronous hierarchy,Rogerburgh,0,Samoa,2016-01-28 07:10:29,1
36.08,45,41420,151.5,Automated client-driven orchestration,Davidside,1,United States Minor Outlying Islands,2016-07-03 04:11:40,1
79.44,26,60850,206.8,Public-key zero-defect analyzer,West Thomas,0,Greece,2016-05-15 13:18:34,0
41.73,47,60810,144.7,Proactive client-server productivity,Andersonchester,0,Cote d'Ivoire,2016-04-08 22:48:25,1
73.19,25,64270,203.7,Cloned incremental matrices,North Ronaldshire,1,Pakistan,2016-01-19 12:18:13,0
77.6,24,58150,197.3,Open-architected system-worthy task-force,Greghaven,1,Anguilla,2016-05-26 15:40:26,0
89,37,52080,222.3,Devolved regional moderator,Jordanmouth,1,Cyprus,2016-01-26 15:56:55,0
69.2,42,26020,123.8,Balanced value-added database,Meyersstad,0,Peru,2016-06-17 09:58:46,1
67.56,31,62320,125.5,Seamless composite budgetary management,Michelleside,0,Kenya,2016-04-25 21:15:39,1
81.11,39,56220,248.2,Total cohesive moratorium,South Robert,1,Chad,2016-07-13 11:41:29,0
80.22,30,61810,224.6,Integrated motivating neural-net,New Tyler,0,Kyrgyz Republic,2016-07-05 15:14:10,0
43.63,41,51660,123.3,Exclusive zero tolerance frame,Jordanshire,1,Albania,2016-03-15 14:06:17,1
77.66,29,67080,168.2,Operative scalable emulation,Reyesland,0,Gabon,2016-06-19 22:08:15,0
74.63,26,51980,236,Enhanced asymmetric installation,New Traceystad,1,Dominican Republic,2016-07-05 20:16:13,0
49.67,27,28020,153.7,Face-to-face reciprocal methodology,Port Brian,0,Zimbabwe,2016-05-09 08:44:55,1
80.59,37,67740,224.2,Robust responsive collaboration,Lake Courtney,0,Croatia,2016-07-21 23:14:35,0
83.49,33,66570,190.8,Polarized logistical hub,Samuelborough,1,Cambodia,2016-06-03 17:32:47,0
44.46,42,30490,132.7,Intuitive zero-defect framework,Christinehaven,1,Mongolia,2016-01-15 19:40:47,1
68.1,40,74900,227.7,Reactive composite project,Thomasstad,1,Honduras,2016-02-05 16:50:58,0
63.88,38,19990,136.8,Upgradable even-keeled hardware,Kristintown,0,Madagascar,2016-02-29 23:56:06,1
78.83,36,66050,234.6,Future-proofed responsive matrix,New Wanda,1,Qatar,2016-05-08 12:08:26,0
79.97,44,70450,216,Programmable empowering middleware,Mariebury,0,China,2016-07-13 01:48:46,0
80.51,28,64010,200.3,Robust dedicated system engine,Christopherville,1,Bangladesh,2016-01-08 02:34:06,0
62.26,26,70200,202.8,Public-key mission-critical core,New Jasmine,0,Swaziland,2016-06-08 12:25:49,0
66.99,47,27260,124.4,Operative actuating installation,Lopezberg,1,Tanzania,2016-06-15 11:56:41,1
71.05,20,49540,204.2,Self-enabling asynchronous knowledge user,Jenniferstad,1,Eritrea,2016-06-13 22:41:45,0
42.05,51,28360,174.6,Configurable 24/7 hub,West Eduardotown,1,Canada,2016-06-20 14:20:52,1
50.52,28,66930,219.7,Versatile responsive knowledge user,Davisfurt,0,Saint Kitts and Nevis,2016-04-03 06:17:22,1
76.24,40,75520,198.3,Managed impactful definition,Bakerhaven,1,Burkina Faso,2016-05-31 23:42:26,0
77.29,27,66270,201.2,Grass-roots 4thgeneration forecast,Paulshire,1,Tuvalu,2016-02-15 03:43:55,0
35.98,47,55990,165.5,Focused 3rdgeneration pricing structure,West Jane,1,El Salvador,2016-03-10 23:26:54,1
84.95,34,56380,230.4,Mandatory dedicated data-warehouse,Lake Brian,0,Madagascar,2016-02-26 17:01:01,0
39.34,43,31220,148.9,Proactive radical support,Alvaradoport,0,Bangladesh,2016-04-17 21:39:11,1
87.23,29,51020,202.1,Re-engineered responsive definition,Lake Kevin,0,American Samoa,2016-03-26 19:54:16,0
57.24,52,46470,117.3,Profound optimizing utilization,Richardsonland,1,Latvia,2016-06-29 21:39:42,1
81.58,41,55480,248.2,Cloned explicit middleware,East Sheriville,0,Moldova,2016-01-27 17:55:44,0
56.34,50,68710,139,Multi-channeled mission-critical success,Port Michealburgh,1,Anguilla,2016-03-17 23:39:28,1
48.73,27,34190,142,Versatile content-based protocol,Monicaview,0,Bangladesh,2016-07-09 16:23:33,1
51.68,49,51070,258.6,Seamless cohesive conglomeration,Katieport,0,Faroe Islands,2016-06-28 12:51:02,1
35.34,45,46690,152.9,De-engineered actuating hierarchy,East Brittanyville,0,Taiwan,2016-06-18 16:32:58,1
48.09,33,19350,180.4,Balanced motivating help-desk,West Travismouth,0,Heard Island and McDonald Islands,2016-05-28 12:38:37,1
78.68,29,66230,208.1,Inverse high-level capability,Leonchester,0,Israel,2016-01-16 16:40:30,0
68.82,20,38610,205.6,Cross-platform client-server hierarchy,Ramirezland,1,Bolivia,2016-07-11 15:45:23,0
56.99,40,37710,108.2,Sharable optimal capacity,Brownton,0,Bahamas,2016-07-16 23:08:54,1
86.63,39,63760,209.6,Face-to-face multimedia success,New Jessicaport,1,Costa Rica,2016-04-06 21:20:07,0
41.18,43,41870,129.3,Enterprise-wide incremental Internet solution,New Denisebury,1,Myanmar,2016-07-05 00:54:11,1
71.03,32,57850,120.8,Advanced systemic productivity,Keithtown,0,Netherlands Antilles,2016-02-17 23:47:00,1
72.92,29,69430,217.1,Customizable mission-critical adapter,Port Melissastad,1,Czech Republic,2016-03-15 17:33:15,0
77.14,24,60280,184.9,Horizontal heuristic synergy,Janiceview,1,Iceland,2016-01-21 18:51:01,0
60.7,43,79330,192.6,Multi-tiered multi-state moderator,Mataberg,1,Palau,2016-06-06 22:41:24,0
34.3,41,53170,160.7,Re-contextualized reciprocal interface,West Melaniefurt,1,Libyan Arab Jamahiriya,2016-05-16 14:50:22,1
83.71,45,64560,220.5,Organized demand-driven knowledgebase,Millerfort,1,Kazakhstan,2016-04-17 19:10:56,0
53.38,35,60800,120.1,Total local synergy,Alexanderview,1,French Guiana,2016-03-30 01:05:34,1
58.03,31,28390,129.3,User-friendly bandwidth-monitored attitude,South Jade,0,Tuvalu,2016-06-29 09:04:31,1
43.59,36,58850,132.3,Re-engineered context-sensitive knowledge user,Lake Susan,1,Congo,2016-05-26 13:43:05,1
60.07,42,65960,120.8,Total user-facing hierarchy,South Vincentchester,1,United Kingdom,2016-04-15 10:16:49,1
54.43,37,75180,154.7,Balanced contextually-based pricing structure,Williamsmouth,1,Luxembourg,2016-05-31 09:06:29,1
81.99,33,61270,230.9,Inverse bi-directional knowledge user,Taylorport,0,French Polynesia,2016-02-15 14:13:47,0
60.53,29,56760,123.3,Networked even-keeled workforce,Williamsport,0,Papua New Guinea,2016-05-09 10:21:48,1
84.69,31,46160,231.8,Right-sized transitional parallelism,Emilyfurt,1,Maldives,2016-07-07 23:32:38,0
88.72,32,43870,211.9,Customer-focused system-worthy superstructure,East John,1,Zambia,2016-01-03 17:10:05,0
88.89,35,50440,218.8,Balanced 4thgeneration success,East Deborahhaven,1,Cook Islands,2016-07-17 18:55:38,0
69.58,43,28030,255.1,Cross-group value-added success,Port Katelynview,0,Congo,2016-04-04 18:36:59,1
85.23,36,64240,212.9,Visionary client-driven installation,Paulhaven,1,Senegal,2016-02-27 12:34:19,0
83.55,39,65820,221.2,Switchable well-modulated infrastructure,Elizabethmouth,1,Myanmar,2016-06-08 20:13:27,0
56.66,42,72680,139.4,Upgradable asymmetric emulation,Lake Jesus,0,Dominican Republic,2016-02-20 10:52:51,1
56.39,27,38820,248.1,Configurable tertiary capability,North Tylerland,1,Bahrain,2016-03-23 21:06:51,0
76.24,27,63980,214.4,Monitored dynamic instruction set,Munozberg,0,Puerto Rico,2016-06-07 01:29:06,0
57.64,36,37210,110.3,Robust web-enabled attitude,North Maryland,1,Chile,2016-01-18 15:18:01,1
78.18,23,52690,167.7,Customer-focused full-range neural-net,West Barbara,0,Bolivia,2016-06-09 19:32:27,0
46.04,32,65500,147.9,Universal transitional Graphical User Interface,Andrewborough,0,Serbia,2016-05-30 20:07:59,1
79.4,35,63970,236.9,User-centric intangible contingency,New Gabriel,0,Malaysia,2016-04-01 09:21:14,0
36.44,39,52400,147.6,Configurable disintermediate throughput,Port Patrickton,1,Estonia,2016-05-31 06:21:02,1
53.14,38,49110,109,Automated web-enabled migration,West Julia,1,Greenland,2016-07-03 22:13:19,1
32.84,40,41230,171.7,Triple-buffered 3rdgeneration migration,New Keithburgh,0,Trinidad and Tobago,2016-03-10 01:36:19,1
73.72,32,52140,256.4,Universal contextually-based system engine,Richardsland,1,Thailand,2016-03-18 02:39:26,0
38.1,34,60640,214.4,Optional secondary access,North Aaronchester,1,Philippines,2016-05-30 18:08:19,1
73.93,44,74180,218.2,Quality-focused scalable utilization,Lake Matthewland,0,Niue,2016-02-20 00:06:20,0
51.87,50,51870,119.7,Team-oriented dynamic forecast,Kevinberg,0,Afghanistan,2016-03-10 22:28:52,1
77.69,22,48850,169.9,Horizontal heuristic support,Morganfort,1,Angola,2016-06-21 14:32:32,0
43.41,28,59140,160.7,Customer-focused zero-defect process improvement,Lovemouth,0,Egypt,2016-02-05 15:26:37,1
55.92,24,33950,145.1,Focused systemic benchmark,Taylorhaven,0,Fiji,2016-05-31 21:41:46,1
80.67,34,58910,239.8,Seamless impactful info-mediaries,Jamesville,0,Portugal,2016-01-01 02:52:10,0
83.42,25,49850,183.4,Advanced heuristic firmware,East Toddfort,1,Austria,2016-03-04 14:10:12,0
82.12,52,28680,201.2,Fully-configurable client-driven customer loyalty,East Dana,1,Germany,2016-02-03 10:40:27,1
66.17,33,69870,238.4,Cross-group neutral synergy,West Lucas,0,Panama,2016-01-20 00:26:15,0
43.01,35,48350,127.4,Organized 24/7 middleware,Butlerfort,0,United States of America,2016-06-11 09:37:52,1
80.05,25,45960,219.9,Networked stable open architecture,Lindaside,1,Christmas Island,2016-03-08 05:48:20,0
64.88,42,70010,129.8,Customizable systematic service-desk,West Chloeborough,1,Equatorial Guinea,2016-02-14 22:23:30,1
79.82,26,51510,223.3,Function-based directional productivity,Jayville,1,Micronesia,2016-07-17 22:04:54,0
48.03,40,25600,134.6,Networked stable array,East Lindsey,1,Malta,2016-06-02 22:16:08,1
32.99,45,49280,177.5,Phased full-range hardware,Masseyshire,0,Ecuador,2016-04-30 19:42:04,1
74.88,27,67240,175.2,Organized empowering policy,Sarahton,1,Sudan,2016-04-17 06:58:18,0
36.49,52,42140,196.6,Object-based system-worthy superstructure,Ryanhaven,1,Lao People's Democratic Republic,2016-03-09 00:41:46,1
88.04,45,62590,191.2,Profound explicit hardware,Lake Deborahburgh,1,Saint Vincent and the Grenadines,2016-03-07 20:02:51,0
45.7,33,67380,151.1,Self-enabling multimedia system engine,New Williammouth,1,Switzerland,2016-05-26 10:33:00,1
82.38,35,25600,159.6,Polarized analyzing intranet,Port Blake,0,Spain,2016-07-18 01:36:37,1
52.68,23,39620,149.2,Vision-oriented attitude-oriented Internet solution,West Richard,1,Turks and Caicos Islands,2016-07-16 05:56:42,1
65.59,47,28270,121.8,Digitized disintermediate ability,Brandymouth,0,Indonesia,2016-03-22 06:41:38,1
65.65,25,63880,224.9,Intuitive explicit firmware,Sandraville,1,Cook Islands,2016-06-03 06:34:44,0
43.84,36,70590,167.4,Public-key real-time definition,Port Jessica,0,Australia,2016-06-28 09:19:06,1
67.69,37,76410,216.6,Monitored content-based implementation,Lake Jasonchester,0,Finland,2016-07-18 18:33:05,0
78.37,24,55020,207.3,Quality-focused zero-defect budgetary management,Pearsonfort,0,Pakistan,2016-01-23 04:47:37,0
81.46,29,51640,231.5,Intuitive fresh-thinking moderator,Sellerstown,0,Ireland,2016-02-29 11:00:06,0
47.48,31,29360,141.3,Reverse-engineered 24hour hardware,Yuton,0,Eritrea,2016-06-30 00:19:33,1
75.15,33,71300,219.5,Synchronized zero tolerance product,Smithtown,1,France,2016-06-19 18:19:38,0
78.76,24,46420,220,Reactive interactive protocol,Joanntown,1,Austria,2016-01-08 08:08:47,0
44.96,50,52800,132.7,Focused fresh-thinking Graphic Interface,South Peter,1,Heard Island and McDonald Islands,2016-01-02 12:25:36,1
39.56,41,59240,143.1,Ameliorated exuding solution,Port Mitchell,1,Western Sahara,2016-05-13 11:57:12,1
39.76,28,35350,196.8,Integrated maximized service-desk,Pottermouth,1,Liberia,2016-02-08 14:02:22,1
57.11,22,59680,207.2,Self-enabling tertiary challenge,Lake Jonathanview,1,Dominican Republic,2016-06-07 23:46:51,0
83.26,40,70230,187.8,Decentralized foreground infrastructure,Alanview,1,Tonga,2016-01-02 14:36:03,0
69.42,25,65790,213.4,Quality-focused hybrid frame,Carterport,0,Lao People's Democratic Republic,2016-02-13 04:16:08,0
50.6,30,34190,129.9,Realigned reciprocal framework,New Daniellefort,1,United States of America,2016-05-03 12:57:19,1
46.2,37,51320,119.3,Distributed maximized ability,Welchshire,0,Belgium,2016-04-03 11:38:36,1
66.88,35,62790,119.5,Polarized bifurcated array,Russellville,1,Indonesia,2016-03-23 19:58:15,1
83.97,40,66290,158.4,Progressive asynchronous adapter,West Lisa,1,Croatia,2016-02-02 11:49:18,0
76.56,30,68030,213.8,Business-focused high-level hardware,Greentown,0,Brunei Darussalam,2016-03-08 10:39:16,0
35.49,48,43970,159.8,Fully-configurable holistic throughput,Timothyport,0,American Samoa,2016-04-08 14:35:44,1
80.29,31,49460,244.9,Ameliorated contextually-based collaboration,Teresahaven,1,Netherlands Antilles,2016-06-30 00:40:31,0
50.19,40,33990,117.3,Progressive uniform budgetary management,Lake Stephenborough,0,Thailand,2016-03-25 19:02:35,1
59.12,33,28210,124.5,Synergistic stable infrastructure,Silvaton,0,Greece,2016-05-12 21:32:06,1
59.88,30,75540,193.6,Reverse-engineered content-based intranet,West Michaelstad,1,French Polynesia,2016-03-02 05:11:01,0
59.7,28,49160,120.3,Expanded zero administration attitude,Florestown,0,Guernsey,2016-05-10 14:12:31,1
67.8,30,39810,117.8,Team-oriented 6thgeneration extranet,New Jay,1,Isle of Man,2016-03-03 02:59:37,1
